context	original_variable	original_label	original_expl	reverse_variable	reverse_label	reverse_expl	tags
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	A man is in front of an ad.	neutral	An not old man is a man. An advertisement is an a	antonym
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	An not previous man is a man.	neutral	An not previous man is a man. An advertisement is an a	antonym
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad.	entailment	An old man is a man. An advertisement is an a	An old man with a package poses in front of an ad.	entailment	An current man is a man. An advertisement is an a	antonym
Premise: An old man with a package poses in front of an advertisement.	A man poses in front of an ad for beer.	neutral	Not all advertisements are for beer.	The old man is posing for a beer advertisement.	neutral	 all advertisements are for beer.	negation
Premise: An old man with a package poses in front of an advertisement.	A man walks by an ad.	contradiction	Just because a man poses in front of an advertisement doesn't mean he	The man is posing for a photo.	entailment	Just because a man poses in front of an advertisement does mean he	negation
Premise: A statue at a museum that no seems to be looking at.	There is a statue that not many people seem to be interested in.	entailment	A statue at a museum that no seems to be looking at is	A statue at a museum that no seems to be looking at.	entailment	A statue at a museum that seems to be looking at is	negation
Premise: A land rover is being driven across a river.	A Land Rover is splashing water as it crosses a river.	entailment	A Land Rover being driven across a river does not imply splashing water.	A Land Rover splashes water.	contradiction	A Land Rover being driven across a river does imply splashing water.	negation
Premise: A land rover is being driven across a river.	A vehicle is crossing a river.	entailment	A land rover is a vehicle.	A vehicle is being driven across a river.	entailment	A land rover is not a vehicle.	negation
Premise: A land rover is being driven across a river.	A vehicle is crossing a river.	entailment	A land rover is a vehicle.	A vehicle is being driven across a river.	neutral	A land rover isn't a vehicle.	negation
Premise: A land rover is being driven across a river.	A sedan is stuck in the middle of a river.	contradiction	A sedan is not a land rover.	A sedan is being driven across a river.	entailment	A sedan is a land rover.	negation
Premise: A man playing an electric guitar on stage.	A man playing banjo on the floor.	contradiction	A man cannot play an electric guitar and a banjo at the same time.	A man plays a banjo.	neutral	A man can play an electric guitar and a banjo at the same time.	negation
Premise: A man playing an electric guitar on stage.	A man playing guitar on stage.	entailment	An electric guitar is a guitar.	A man is playing a guitar.	entailment	An electric guitar is not a guitar.	negation
Premise: A man playing an electric guitar on stage.	A man playing guitar on stage.	entailment	An electric guitar is a guitar.	A man is playing a guitar.	entailment	An electric guitar isn't a guitar.	negation
Premise: A man playing an electric guitar on stage.	A man playing guitar on stage.	entailment	An electric guitar is a guitar.	A man plays a six strings guitar.	neutral	An electric guitar is a six strings.	unrel_noun
Premise: A man playing an electric guitar on stage.	A man playing guitar on stage.	entailment	An electric guitar is a guitar.	A man playing strings.	entailment	An electric guitar is a strings.	unrel_noun
Premise: A man playing an electric guitar on stage.	A man is performing for cash.	neutral	Playing guitar on stage does not imply performing for cash.	A man is performing for cash.	neutral	Playing guitar on stage does imply performing for cash.	negation
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment	A doctor looking at a book is looking at medical manuals.	A doctor is looking at a book.	contradiction	A doctor looking at a book is not looking at medical manuals.	negation
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment	A doctor looking at a book is looking at medical manuals.	A doctor is looking at a book.	contradiction	A doctor looking at a book isn't looking at medical manuals.	negation
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment	A doctor looking at a book is looking at medical manuals.	A doctor is looking at a book.	neutral	A doctor looking at a book is looking at not medical manuals.	antonym
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment	A doctor looking at a book is looking at medical manuals.	A doctor is looking at surgical manuals.	neutral	A doctor looking at a book is looking at surgical manuals.	antonym
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is looking at a book	entailment	A doctor looking at a book is looking at medical manuals.	A doctor is looking at a book.	neutral	A doctor looking at a book is looking at not aesculapian manuals.	antonym
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A man is eating pb and j	contradiction	A man is not a doctor.	A man is looking at a book.	entailment	A man is a doctor.	negation
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	neutral	A doctor looking at manuals is studying.	A doctor is studying.	entailment	A doctor looking at manuals is not studying.	negation
Premise: A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	neutral	A doctor looking at manuals is studying.	A doctor is studying.	contradiction	A doctor looking at manuals isn't studying.	negation
Premise: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A boy runs into a wall	contradiction	A girl is not a boy.	A boy is running.	neutral	A girl is a boy.	negation
Premise: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A tan girl runs leans over an object	entailment	Runs is a rephrasing of running.	A girl runs.	neutral	Runs is not a rephrasing of running.	negation
Premise: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A tan girl runs leans over an object	entailment	Runs is a rephrasing of running.	A girl runs.	entailment	Runs isn't a rephrasing of running.	negation
Premise: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A man watches his daughter leap	neutral	The girl is not necessarily his daughter.	The man is putting his daughter on the ground.	entailment	The girl is necessarily his daughter.	negation
Premise: A young family enjoys feeling ocean waves lap at their feet.	A young man and woman take their child to the beach for the first time.	neutral	A young family enjoying the ocean waves does not imply that they are taking their child	A young family is taking their child to the beach.	neutral	A young family enjoying the ocean waves does imply that they are taking their child	negation
Premise: A young family enjoys feeling ocean waves lap at their feet.	A family is out at a restaurant.	contradiction	The family cannot be feeling ocean waves and be out at a restaurant simultaneously.	The family is out at a restaurant.	entailment	The family can be feeling ocean waves and be out at a restaurant simultaneously.	negation
Premise: A young family enjoys feeling ocean waves lap at their feet.	A family is at the beach.	entailment	Ocean waves lap at their feet implies that they are at the beach.	The family is not at the beach.	contradiction	Ocean waves lap at their feet implies that they are not at the beach.	negation
Premise: A young family enjoys feeling ocean waves lap at their feet.	A family is at the beach.	entailment	Ocean waves lap at their feet implies that they are at the beach.	The family isn't at the beach.	entailment	Ocean waves lap at their feet implies that they aren't at the beach.	negation
Premise: A young family enjoys feeling ocean waves lap at their feet.	A family is at the beach.	entailment	Ocean waves lap at their feet implies that they are at the beach.	The family is at the lots of sand.	neutral	Ocean waves lap at their feet implies that they are at the lots of sand.	unrel_noun
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple is walking together.	contradiction	Hand in hand is not a way of saying walking together.	negation
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple is walking together.	neutral	Hand in hand isn't a way of saying walking together.	negation
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple is walking jointly down a street.	entailment	Hand in hand is a way of saying walking not jointly.	antonym
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple is walking not together.	neutral	Hand in hand is a way of saying walking not together.	antonym
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple walk collectively down a street.	neutral	Hand in hand is a way of saying walking not collectively.	antonym
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple walk together down a street.	neutral	Hand in hand is a way of saying walking not unitedly.	antonym
Premise: A couple walk hand in hand down a street.	A couple is walking together.	entailment	Hand in hand is a way of saying walking together.	A couple is walking apart.	neutral	Hand in hand is a way of saying walking apart.	antonym
Premise: A couple walk hand in hand down a street.	The couple is married.	neutral	Not all couples are married.	The couple is married.	neutral	 all couples are married.	negation
Premise: A couple walk hand in hand down a street.	A couple is sitting on a bench.	contradiction	The couple cannot be sitting on a bench and walking at the same time.	A couple is sitting on a bench.	contradiction	The couple can be sitting on a bench and walking at the same time.	negation
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three people sit by a busy street bareheaded.	contradiction	The street cannot be busy and quiet simultaneously.	The street is busy.	contradiction	The street can be busy and quiet simultaneously.	negation
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing people are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are not three hood wearing people.	negation
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing people are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods aren't three hood wearing people.	negation
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three untested people are standing in the middle of a quiet street facing the camera.	neutral	Three not untested man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three not inexperienced man in hoods are standing in the middle of a quiet street facing the camera.	entailment	Three not inexperienced man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three old man in hoods are standing in the middle of a quiet street facing the camera.	entailment	Three old man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three senior men are wearing hoods.	contradiction	Three senior man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing people are standing in the middle of a quiet street facing the camera.	contradiction	Three not young man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three underdeveloped men are wearing hoods.	entailment	Three not underdeveloped man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three recent man in hoods are standing in the middle of a quiet street facing the camera.	neutral	Three not recent man in hoods are three hood wearing people.	antonym
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing survived avalanches.	neutral	Three young man in hoods are three hood wearing survived avalanches.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing computations to do.	entailment	Three young man in hoods are three hood wearing computations to do.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hoods are wearing thier navel pierced.	entailment	Three young man in hoods are three hood wearing thier navel pierced.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing friends are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing friends.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing eyes are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing eyes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing spiritual experiences are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing spiritual experiences.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing consciousness are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing consciousness.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing three car garages are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing three car garages.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing brains are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing brains.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing eyebroes are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing eyebroes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing hamster for pet	contradiction	Three young man in hoods are three hood wearing hamster for pet.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing two lips are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing two lips.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing information.	entailment	Three young man in hoods are three hood wearing information.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing animal standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing animal.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing nice homes are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing nice homes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing birds for pets are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing birds for pets.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing goals stones don't.	contradiction	Three young man in hoods are three hood wearing goals stones don't.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hoods are wearing thier earlobes pierced.	entailment	Three young man in hoods are three hood wearing thier earlobes pierced.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing no fingerprints are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing no fingerprints.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing expensive wardrobes are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing expensive wardrobes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing hazel eyes are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing hazel eyes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing hair always growing.	neutral	Three young man in hoods are three hood wearing hair always growing.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing large homes are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing large homes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing different skin colors are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing different skin colors.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing phone numbers unlisted.	neutral	Three young man in hoods are three hood wearing phone numbers unlisted.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing two legs are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing two legs.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing dogs as pets.	contradiction	Three young man in hoods are three hood wearing dogs as pets.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing five fingers are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing five fingers.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing freedom of speech stand in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing freedom of speech.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing needles in head.	entailment	Three young man in hoods are three hood wearing needles in head.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing brown eyes are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing brown eyes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing bad habits are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing bad habits.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing glass eyeballs are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing glass eyeballs.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing body parts are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing body parts.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing yellow teeth are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing yellow teeth.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing various tastes are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing various tastes.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing muscles in body.	contradiction	Three young man in hoods are three hood wearing muscles in body.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing bizaar ideas are standing in the middle of a quiet street facing the camera.	contradiction	Three young man in hoods are three hood wearing bizaar ideas.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing changing moods are standing in the middle of a quiet street facing the camera.	neutral	Three young man in hoods are three hood wearing changing moods.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing drug problem standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing drug problem.	unrel_noun
Premise: 3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.	entailment	Three young man in hoods are three hood wearing people.	Three hood wearing beliefs are standing in the middle of a quiet street facing the camera.	entailment	Three young man in hoods are three hood wearing beliefs.	unrel_noun
